path,aspect-ratio,film,department,author-id,description
assets/images/artbook/Alone/fx/boom,1.777777778,Coffee Brake,FX,hallam-roberts,
assets/images/artbook/Alone/fx/pod02_020,1.965451056,Alone,FX,hallam-roberts,
assets/images/artbook/Alone/fx/vlcsnap-2023-11-22-10h27m26s214,3.555555556,Alone,FX,shaun-tan,
assets/images/artbook/Alone/modelling/Grembler02_body focus,2.037037037,Alone,Art Department,,
assets/images/artbook/Alone/modelling/image (58),0.7605633803,Alone,Modelling,,
assets/images/artbook/Alone/modelling/image (59),1.785871965,Alone,Modelling,,
assets/images/artbook/Alone/modelling/image (60),1.553257497,Alone,Modelling,,
assets/images/artbook/Alone/modelling/image (77),2.523613963,Alone,Art Department,,
assets/images/artbook/Alone/modelling/privis_couch01_scale_check,1.807594937,Alone,Modelling,,
assets/images/artbook/Alone/modelling/QUESTION,1.088974855,Alone,Modelling,,
assets/images/artbook/Alone/modelling/Screenshot from 2023-08-15 09-50-19,1.741774676,Alone,Modelling,,
assets/images/artbook/Alone/modelling/spPodroom01_heroTreeConcept01,2.882544861,Alone,Art Department,,
assets/images/artbook/Alone/surfacing/Selection_104,1.305528613,Alone,Surfacing,,
assets/images/artbook/Alone/surfacing/Selection_105,1.567343173,Alone,Surfacing,,
assets/images/artbook/Coffee Brake/Carol_chair_design,1,Coffee Brake,Art Department,,
assets/images/artbook/Coffee Brake/chair_render,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/Clock,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/Gary_chair_design,1,Coffee Brake,Art Department,,
assets/images/artbook/Coffee Brake/image (61),1.786936236,Coffee Brake,Art Department,,
assets/images/artbook/Coffee Brake/image (63),1.76276771,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (64),1.862873815,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (65),1.870813397,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (66),0.8023369036,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (67),0.6978484565,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (68),0.7415621986,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (69),2.041749503,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (70),0.8096514745,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (71),1.210810811,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (72),1.382165605,Coffee Brake,Art Department,,
assets/images/artbook/Coffee Brake/image (73),1.061971831,Coffee Brake,Art Department,,
assets/images/artbook/Coffee Brake/image (74),2.228929385,Coffee Brake,Art Department,,
assets/images/artbook/Coffee Brake/image (75),1.047785548,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (76),2.228929385,Coffee Brake,Art Department,,
assets/images/artbook/Coffee Brake/image (78),0.9501216545,Coffee Brake,FX,hallam-roberts,
assets/images/artbook/Coffee Brake/image (79),1.023993808,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (80),1,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (81),0.9266198283,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (82),0.9713831479,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (84),1.622779519,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (85),1.836391437,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (86),0.7660377358,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (87),0.7169981917,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/image (88),2.468892261,Coffee Brake,Surfacing,,
assets/images/artbook/Coffee Brake/image (89),1.777777778,Coffee Brake,FX,hallam-roberts,
assets/images/artbook/Coffee Brake/legogary,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/Paper_Stack,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/PC,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/Screenshot (20),0.9214226634,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/Screenshot (21),1.261578045,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/Screenshot (26),0.8754774637,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/Screenshot (41),0.926443203,Coffee Brake,Modelling,,
assets/images/artbook/Coffee Brake/Screenshot (56),0.6499416569,Coffee Brake,Modelling,,
